Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status,Response_Time_Min,Sentiment
CONV-1403,Forgot password,Restart your router.,42 minutes,Hardware,Pending,38,neutral
CONV-1404,Printer not responding,Reset your password using the link provided.,53 minutes,Account,Pending,2,neutral
CONV-1405,Cannot connect to Wi-Fi,Run a system diagnostic tool.,98 minutes,Network,Pending,16,neutral
CONV-1406,Software installation failure,Follow the software installation guide.,72 minutes,Network,Resolved after follow-up,24,negative
CONV-1407,Slow system performance,Restart your router.,97 minutes,Performance,Resolved,38,neutral
CONV-1408,Slow system performance,Reset your password using the link provided.,116 minutes,Account,Pending,6,neutral
CONV-1409,Cannot connect to Wi-Fi,Restart your router.,52 minutes,Hardware,Resolved,45,neutral
CONV-1410,Unable to access email,Follow the software installation guide.,56 minutes,Software,Escalated,8,neutral
CONV-1411,Unable to access email,Restart your router.,34 minutes,Account,Resolved after follow-up,18,neutral
CONV-1412,Slow system performance,Reset your password using the link provided.,82 minutes,Performance,Pending,21,neutral
CONV-1413,Unable to access email,Run a system diagnostic tool.,84 minutes,Performance,Resolved,28,neutral
CONV-1414,Cannot connect to Wi-Fi,Follow the software installation guide.,89 minutes,Performance,Pending,30,neutral
CONV-1415,Unable to access email,Reinstall the printer drivers.,11 minutes,Hardware,Pending,35,neutral
CONV-1416,Cannot connect to Wi-Fi,Reset your password using the link provided.,43 minutes,Performance,Pending,34,neutral
CONV-1417,Blue screen error,Follow the software installation guide.,86 minutes,Performance,Resolved after follow-up,34,negative
CONV-1418,Cannot connect to Wi-Fi,Verify your email settings.,56 minutes,Software,Escalated,11,neutral
CONV-1419,Forgot password,Run a system diagnostic tool.,79 minutes,Account,Pending,19,neutral
CONV-1420,Cannot connect to Wi-Fi,Verify your email settings.,114 minutes,Performance,Pending,38,neutral
CONV-1421,Cannot connect to Wi-Fi,Run a system diagnostic tool.,50 minutes,Hardware,Escalated,49,neutral
CONV-1422,Forgot password,Clear cache and remove unnecessary programs.,73 minutes,Software,Pending,8,neutral
CONV-1423,Printer not responding,Run a system diagnostic tool.,72 minutes,Network,Resolved,10,neutral
CONV-1424,Unable to access email,Reset your password using the link provided.,99 minutes,Hardware,Resolved,19,neutral
CONV-1425,Software installation failure,Reinstall the printer drivers.,43 minutes,Performance,Pending,25,negative
CONV-1426,Printer not responding,Reset your password using the link provided.,59 minutes,Software,Resolved,5,neutral
CONV-1427,Slow system performance,Run a system diagnostic tool.,12 minutes,Hardware,Escalated,13,neutral
CONV-1428,Blue screen error,Reset your password using the link provided.,107 minutes,Account,Pending,4,negative
CONV-1429,Blue screen error,Reinstall the printer drivers.,46 minutes,Hardware,Pending,53,negative
CONV-1430,Forgot password,Follow the software installation guide.,74 minutes,Software,Resolved after follow-up,5,neutral
CONV-1431,Printer not responding,Clear cache and remove unnecessary programs.,17 minutes,Software,Resolved,5,neutral
CONV-1432,Forgot password,Reinstall the printer drivers.,13 minutes,Network,Escalated,19,neutral
CONV-1433,Blue screen error,Follow the software installation guide.,62 minutes,Performance,Resolved after follow-up,27,negative
CONV-1434,Unable to access email,Verify your email settings.,70 minutes,Performance,Pending,19,neutral
CONV-1435,Blue screen error,Run a system diagnostic tool.,96 minutes,Hardware,Escalated,11,negative
CONV-1436,Printer not responding,Reset your password using the link provided.,20 minutes,Software,Pending,12,neutral
CONV-1437,Software installation failure,Reset your password using the link provided.,55 minutes,Performance,Pending,43,negative
CONV-1438,Cannot connect to Wi-Fi,Follow the software installation guide.,110 minutes,Software,Escalated,8,neutral
CONV-1439,Forgot password,Clear cache and remove unnecessary programs.,27 minutes,Network,Resolved,10,neutral
CONV-1440,Slow system performance,Run a system diagnostic tool.,92 minutes,Network,Resolved after follow-up,25,neutral
CONV-1441,Printer not responding,Run a system diagnostic tool.,105 minutes,Hardware,Pending,28,neutral
CONV-1442,Printer not responding,Reset your password using the link provided.,50 minutes,Account,Escalated,18,neutral
CONV-1443,Printer not responding,Clear cache and remove unnecessary programs.,94 minutes,Account,Resolved,4,neutral
CONV-1444,Forgot password,Run a system diagnostic tool.,24 minutes,Performance,Pending,21,neutral
CONV-1445,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,15 minutes,Network,Resolved after follow-up,10,neutral
CONV-1446,Forgot password,Clear cache and remove unnecessary programs.,107 minutes,Network,Pending,11,neutral
CONV-1447,Printer not responding,Reinstall the printer drivers.,35 minutes,Network,Pending,20,neutral
CONV-1448,Software installation failure,Verify your email settings.,54 minutes,Software,Pending,2,negative
CONV-1449,Software installation failure,Reinstall the printer drivers.,69 minutes,Performance,Resolved,10,negative
CONV-1450,Forgot password,Verify your email settings.,33 minutes,Account,Pending,5,neutral
CONV-1451,Cannot connect to Wi-Fi,Reset your password using the link provided.,91 minutes,Account,Resolved after follow-up,10,neutral
CONV-1452,Unable to access email,Run a system diagnostic tool.,50 minutes,Account,Escalated,15,neutral
CONV-1453,Slow system performance,Reinstall the printer drivers.,29 minutes,Account,Escalated,19,neutral
CONV-1454,Blue screen error,Restart your router.,81 minutes,Network,Resolved,6,negative
CONV-1455,Unable to access email,Reset your password using the link provided.,77 minutes,Network,Pending,21,neutral
CONV-1456,Printer not responding,Reinstall the printer drivers.,8 minutes,Hardware,Resolved,46,neutral
CONV-1457,Forgot password,Reset your password using the link provided.,63 minutes,Network,Resolved,7,neutral
CONV-1458,Forgot password,Clear cache and remove unnecessary programs.,77 minutes,Hardware,Pending,28,neutral
CONV-1459,Printer not responding,Restart your router.,107 minutes,Account,Resolved,17,neutral
CONV-1460,Forgot password,Follow the software installation guide.,109 minutes,Account,Escalated,19,neutral
CONV-1461,Unable to access email,Verify your email settings.,76 minutes,Account,Resolved,13,neutral
CONV-1462,Blue screen error,Reinstall the printer drivers.,49 minutes,Software,Escalated,2,negative
CONV-1463,Slow system performance,Run a system diagnostic tool.,78 minutes,Account,Resolved after follow-up,11,neutral
CONV-1464,Printer not responding,Reset your password using the link provided.,97 minutes,Network,Pending,22,neutral
CONV-1465,Unable to access email,Clear cache and remove unnecessary programs.,98 minutes,Hardware,Pending,47,neutral
CONV-1466,Software installation failure,Verify your email settings.,83 minutes,Performance,Resolved,22,negative
CONV-1467,Blue screen error,Verify your email settings.,58 minutes,Network,Pending,9,negative
CONV-1468,Cannot connect to Wi-Fi,Reinstall the printer drivers.,47 minutes,Performance,Pending,44,neutral
CONV-1469,Forgot password,Restart your router.,82 minutes,Network,Escalated,12,neutral
CONV-1470,Slow system performance,Reset your password using the link provided.,108 minutes,Software,Escalated,7,neutral
CONV-1471,Blue screen error,Clear cache and remove unnecessary programs.,37 minutes,Performance,Resolved after follow-up,33,negative
CONV-1472,Software installation failure,Follow the software installation guide.,63 minutes,Software,Pending,10,negative
CONV-1473,Slow system performance,Verify your email settings.,12 minutes,Software,Resolved after follow-up,8,neutral
CONV-1474,Printer not responding,Clear cache and remove unnecessary programs.,53 minutes,Performance,Resolved,26,neutral
CONV-1475,Slow system performance,Follow the software installation guide.,105 minutes,Hardware,Resolved,34,neutral
CONV-1476,Unable to access email,Run a system diagnostic tool.,12 minutes,Software,Resolved after follow-up,14,neutral
CONV-1477,Printer not responding,Run a system diagnostic tool.,109 minutes,Network,Resolved,21,neutral
CONV-1478,Forgot password,Reset your password using the link provided.,94 minutes,Hardware,Resolved,15,neutral
CONV-1479,Slow system performance,Clear cache and remove unnecessary programs.,80 minutes,Network,Escalated,16,neutral
CONV-1480,Forgot password,Clear cache and remove unnecessary programs.,70 minutes,Network,Escalated,9,neutral
CONV-1481,Cannot connect to Wi-Fi,Reinstall the printer drivers.,41 minutes,Hardware,Pending,29,neutral
CONV-1482,Software installation failure,Clear cache and remove unnecessary programs.,18 minutes,Network,Pending,22,negative
CONV-1483,Software installation failure,Restart your router.,77 minutes,Account,Resolved,3,negative
CONV-1484,Slow system performance,Reinstall the printer drivers.,5 minutes,Account,Resolved,9,neutral
CONV-1485,Unable to access email,Run a system diagnostic tool.,51 minutes,Account,Pending,12,neutral
CONV-1486,Unable to access email,Reset your password using the link provided.,83 minutes,Performance,Pending,44,neutral
CONV-1487,Slow system performance,Run a system diagnostic tool.,43 minutes,Performance,Resolved,13,neutral
CONV-1488,Cannot connect to Wi-Fi,Run a system diagnostic tool.,74 minutes,Hardware,Escalated,12,neutral
CONV-1489,Printer not responding,Verify your email settings.,78 minutes,Hardware,Resolved after follow-up,43,neutral
CONV-1490,Forgot password,Restart your router.,45 minutes,Software,Resolved after follow-up,10,neutral
CONV-1491,Printer not responding,Verify your email settings.,113 minutes,Network,Resolved after follow-up,18,neutral
CONV-1492,Cannot connect to Wi-Fi,Reinstall the printer drivers.,49 minutes,Hardware,Resolved after follow-up,19,neutral
CONV-1493,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,113 minutes,Hardware,Pending,35,neutral
CONV-1494,Slow system performance,Restart your router.,83 minutes,Hardware,Pending,50,neutral
CONV-1495,Unable to access email,Verify your email settings.,73 minutes,Software,Resolved,10,neutral
CONV-1496,Slow system performance,Run a system diagnostic tool.,22 minutes,Software,Escalated,12,neutral
CONV-1497,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,41 minutes,Performance,Escalated,16,neutral
CONV-1498,Slow system performance,Verify your email settings.,75 minutes,Performance,Resolved after follow-up,36,neutral
CONV-1499,Slow system performance,Clear cache and remove unnecessary programs.,48 minutes,Account,Pending,18,neutral
CONV-1500,Forgot password,Follow the software installation guide.,116 minutes,Account,Resolved after follow-up,6,neutral
CONV-1501,Slow system performance,Reinstall the printer drivers.,26 minutes,Network,Resolved after follow-up,29,neutral
CONV-1502,Slow system performance,Reset your password using the link provided.,60 minutes,Network,Resolved after follow-up,16,neutral
CONV-1503,Blue screen error,Clear cache and remove unnecessary programs.,27 minutes,Account,Resolved,6,negative
CONV-1504,Slow system performance,Run a system diagnostic tool.,41 minutes,Performance,Resolved,39,neutral
CONV-1505,Forgot password,Reset your password using the link provided.,100 minutes,Performance,Resolved after follow-up,40,neutral
CONV-1506,Blue screen error,Clear cache and remove unnecessary programs.,98 minutes,Network,Resolved,10,negative
CONV-1507,Slow system performance,Restart your router.,54 minutes,Software,Pending,4,neutral
CONV-1508,Printer not responding,Run a system diagnostic tool.,41 minutes,Network,Resolved,29,neutral
CONV-1509,Software installation failure,Verify your email settings.,92 minutes,Account,Escalated,10,negative
CONV-1510,Cannot connect to Wi-Fi,Verify your email settings.,77 minutes,Account,Pending,19,neutral
CONV-1511,Software installation failure,Restart your router.,111 minutes,Software,Resolved after follow-up,7,negative
CONV-1512,Forgot password,Reset your password using the link provided.,65 minutes,Network,Pending,6,neutral
CONV-1513,Unable to access email,Reinstall the printer drivers.,95 minutes,Hardware,Pending,17,neutral
CONV-1514,Slow system performance,Reset your password using the link provided.,85 minutes,Network,Escalated,11,neutral
CONV-1515,Slow system performance,Clear cache and remove unnecessary programs.,73 minutes,Hardware,Pending,48,neutral
CONV-1516,Cannot connect to Wi-Fi,Restart your router.,63 minutes,Software,Escalated,14,neutral
CONV-1517,Software installation failure,Reinstall the printer drivers.,88 minutes,Performance,Resolved after follow-up,40,negative
CONV-1518,Printer not responding,Follow the software installation guide.,107 minutes,Performance,Pending,17,neutral
CONV-1519,Slow system performance,Verify your email settings.,92 minutes,Performance,Resolved after follow-up,25,neutral
CONV-1520,Slow system performance,Reset your password using the link provided.,86 minutes,Hardware,Resolved after follow-up,51,neutral
CONV-1521,Software installation failure,Verify your email settings.,66 minutes,Account,Resolved,7,negative
CONV-1522,Unable to access email,Reinstall the printer drivers.,106 minutes,Account,Resolved after follow-up,14,neutral
CONV-1523,Slow system performance,Follow the software installation guide.,49 minutes,Network,Resolved after follow-up,19,neutral
CONV-1524,Slow system performance,Run a system diagnostic tool.,116 minutes,Performance,Escalated,43,neutral
CONV-1525,Unable to access email,Restart your router.,105 minutes,Network,Resolved after follow-up,28,neutral
CONV-1526,Software installation failure,Clear cache and remove unnecessary programs.,59 minutes,Performance,Resolved after follow-up,14,negative
CONV-1527,Cannot connect to Wi-Fi,Reinstall the printer drivers.,99 minutes,Network,Resolved,8,neutral
CONV-1528,Software installation failure,Restart your router.,95 minutes,Account,Resolved after follow-up,13,negative
CONV-1529,Blue screen error,Reset your password using the link provided.,56 minutes,Performance,Pending,24,negative
CONV-1530,Cannot connect to Wi-Fi,Run a system diagnostic tool.,89 minutes,Network,Resolved after follow-up,27,neutral
CONV-1531,Software installation failure,Follow the software installation guide.,61 minutes,Account,Pending,16,negative
CONV-1532,Unable to access email,Reset your password using the link provided.,72 minutes,Network,Escalated,7,neutral
CONV-1533,Blue screen error,Follow the software installation guide.,117 minutes,Performance,Resolved,39,negative
CONV-1534,Slow system performance,Verify your email settings.,37 minutes,Performance,Resolved after follow-up,21,neutral
CONV-1535,Blue screen error,Follow the software installation guide.,114 minutes,Hardware,Resolved after follow-up,30,negative
CONV-1536,Unable to access email,Clear cache and remove unnecessary programs.,73 minutes,Network,Escalated,18,neutral
CONV-1537,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,43 minutes,Hardware,Pending,22,neutral
CONV-1538,Slow system performance,Verify your email settings.,110 minutes,Software,Pending,7,neutral
CONV-1539,Forgot password,Restart your router.,47 minutes,Hardware,Escalated,29,neutral
CONV-1540,Blue screen error,Restart your router.,19 minutes,Performance,Pending,19,negative
CONV-1541,Cannot connect to Wi-Fi,Run a system diagnostic tool.,12 minutes,Account,Resolved,5,neutral
CONV-1542,Software installation failure,Restart your router.,24 minutes,Software,Resolved after follow-up,12,negative
CONV-1543,Unable to access email,Verify your email settings.,43 minutes,Hardware,Pending,52,neutral
CONV-1544,Printer not responding,Reset your password using the link provided.,111 minutes,Network,Pending,11,neutral
CONV-1545,Slow system performance,Run a system diagnostic tool.,31 minutes,Network,Resolved after follow-up,6,neutral
CONV-1546,Software installation failure,Clear cache and remove unnecessary programs.,91 minutes,Software,Resolved after follow-up,2,negative
CONV-1547,Blue screen error,Clear cache and remove unnecessary programs.,113 minutes,Software,Resolved,12,negative
CONV-1548,Printer not responding,Verify your email settings.,68 minutes,Account,Pending,11,neutral
CONV-1549,Forgot password,Verify your email settings.,106 minutes,Account,Pending,5,neutral
CONV-1550,Slow system performance,Restart your router.,65 minutes,Account,Resolved,7,neutral
CONV-1551,Cannot connect to Wi-Fi,Reset your password using the link provided.,21 minutes,Hardware,Resolved,56,neutral
CONV-1552,Printer not responding,Reinstall the printer drivers.,109 minutes,Account,Resolved,8,neutral
CONV-1553,Blue screen error,Reinstall the printer drivers.,118 minutes,Account,Resolved,19,negative
CONV-1554,Unable to access email,Run a system diagnostic tool.,16 minutes,Hardware,Resolved,40,neutral
CONV-1555,Printer not responding,Reset your password using the link provided.,69 minutes,Software,Resolved,3,neutral
CONV-1556,Software installation failure,Reset your password using the link provided.,40 minutes,Network,Escalated,15,negative
CONV-1557,Cannot connect to Wi-Fi,Verify your email settings.,36 minutes,Performance,Resolved,23,neutral
CONV-1558,Cannot connect to Wi-Fi,Reset your password using the link provided.,71 minutes,Software,Escalated,14,neutral
CONV-1559,Blue screen error,Verify your email settings.,38 minutes,Network,Escalated,29,negative
CONV-1560,Software installation failure,Reset your password using the link provided.,94 minutes,Performance,Resolved,10,negative
CONV-1561,Slow system performance,Verify your email settings.,82 minutes,Software,Resolved,3,neutral
CONV-1562,Unable to access email,Clear cache and remove unnecessary programs.,119 minutes,Hardware,Resolved after follow-up,43,neutral
CONV-1563,Software installation failure,Run a system diagnostic tool.,44 minutes,Performance,Escalated,40,negative
CONV-1564,Slow system performance,Reinstall the printer drivers.,39 minutes,Hardware,Pending,31,neutral
CONV-1565,Unable to access email,Reinstall the printer drivers.,31 minutes,Software,Resolved after follow-up,5,neutral
CONV-1566,Blue screen error,Restart your router.,88 minutes,Software,Escalated,9,negative
CONV-1567,Blue screen error,Reset your password using the link provided.,115 minutes,Software,Pending,12,negative
CONV-1568,Printer not responding,Clear cache and remove unnecessary programs.,115 minutes,Hardware,Resolved after follow-up,21,neutral
CONV-1569,Unable to access email,Run a system diagnostic tool.,51 minutes,Network,Resolved after follow-up,28,neutral
CONV-1570,Unable to access email,Verify your email settings.,50 minutes,Hardware,Pending,24,neutral
CONV-1571,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,93 minutes,Performance,Resolved,16,neutral
CONV-1572,Printer not responding,Reset your password using the link provided.,40 minutes,Network,Resolved after follow-up,15,neutral
CONV-1573,Slow system performance,Verify your email settings.,52 minutes,Hardware,Pending,45,neutral
CONV-1574,Cannot connect to Wi-Fi,Verify your email settings.,82 minutes,Software,Resolved after follow-up,6,neutral
CONV-1575,Forgot password,Clear cache and remove unnecessary programs.,117 minutes,Software,Resolved after follow-up,9,neutral
CONV-1576,Printer not responding,Run a system diagnostic tool.,44 minutes,Network,Pending,26,neutral
CONV-1577,Blue screen error,Clear cache and remove unnecessary programs.,63 minutes,Software,Resolved after follow-up,8,negative
CONV-1578,Software installation failure,Reset your password using the link provided.,8 minutes,Network,Resolved,28,negative
CONV-1579,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,74 minutes,Network,Escalated,19,neutral
CONV-1580,Printer not responding,Reset your password using the link provided.,68 minutes,Performance,Resolved after follow-up,43,neutral
CONV-1581,Software installation failure,Restart your router.,5 minutes,Hardware,Resolved after follow-up,18,negative
CONV-1582,Cannot connect to Wi-Fi,Run a system diagnostic tool.,37 minutes,Network,Pending,12,neutral
CONV-1583,Blue screen error,Follow the software installation guide.,26 minutes,Hardware,Pending,11,negative
CONV-1584,Unable to access email,Verify your email settings.,47 minutes,Account,Resolved after follow-up,7,neutral
CONV-1585,Slow system performance,Restart your router.,91 minutes,Account,Escalated,9,neutral
CONV-1586,Cannot connect to Wi-Fi,Verify your email settings.,85 minutes,Hardware,Pending,43,neutral
CONV-1587,Slow system performance,Reinstall the printer drivers.,69 minutes,Performance,Escalated,36,neutral
CONV-1588,Printer not responding,Run a system diagnostic tool.,8 minutes,Software,Escalated,6,neutral
CONV-1589,Unable to access email,Restart your router.,115 minutes,Account,Resolved after follow-up,3,neutral
CONV-1590,Unable to access email,Reinstall the printer drivers.,14 minutes,Network,Resolved,26,neutral
CONV-1591,Cannot connect to Wi-Fi,Verify your email settings.,102 minutes,Network,Escalated,23,neutral
CONV-1592,Printer not responding,Verify your email settings.,7 minutes,Account,Pending,2,neutral
CONV-1593,Slow system performance,Run a system diagnostic tool.,28 minutes,Network,Escalated,19,neutral
CONV-1594,Software installation failure,Run a system diagnostic tool.,107 minutes,Performance,Resolved after follow-up,43,negative
CONV-1595,Software installation failure,Clear cache and remove unnecessary programs.,30 minutes,Hardware,Resolved after follow-up,27,negative
CONV-1596,Cannot connect to Wi-Fi,Run a system diagnostic tool.,42 minutes,Account,Escalated,8,neutral
CONV-1597,Slow system performance,Verify your email settings.,29 minutes,Account,Escalated,5,neutral
CONV-1598,Forgot password,Reset your password using the link provided.,117 minutes,Hardware,Resolved,43,neutral
CONV-1599,Blue screen error,Reset your password using the link provided.,14 minutes,Hardware,Escalated,58,negative
CONV-1600,Slow system performance,Reinstall the printer drivers.,56 minutes,Network,Resolved after follow-up,19,neutral
CONV-1601,Blue screen error,Restart your router.,15 minutes,Hardware,Escalated,45,negative
CONV-1602,Slow system performance,Clear cache and remove unnecessary programs.,103 minutes,Network,Resolved,27,neutral
CONV-1603,Unable to access email,Reset your password using the link provided.,5 minutes,Performance,Resolved,23,neutral
CONV-1604,Blue screen error,Reset your password using the link provided.,93 minutes,Hardware,Escalated,10,negative
CONV-1605,Blue screen error,Reinstall the printer drivers.,99 minutes,Hardware,Resolved after follow-up,35,negative
CONV-1606,Printer not responding,Clear cache and remove unnecessary programs.,19 minutes,Account,Resolved after follow-up,6,neutral
CONV-1607,Blue screen error,Restart your router.,7 minutes,Network,Pending,9,negative
CONV-1608,Cannot connect to Wi-Fi,Reset your password using the link provided.,56 minutes,Software,Pending,11,neutral
CONV-1609,Printer not responding,Clear cache and remove unnecessary programs.,20 minutes,Hardware,Escalated,48,neutral
CONV-1610,Cannot connect to Wi-Fi,Reset your password using the link provided.,91 minutes,Account,Pending,12,neutral
CONV-1611,Blue screen error,Reset your password using the link provided.,102 minutes,Account,Resolved,9,negative
CONV-1612,Forgot password,Clear cache and remove unnecessary programs.,66 minutes,Hardware,Pending,10,neutral
CONV-1613,Unable to access email,Clear cache and remove unnecessary programs.,46 minutes,Account,Escalated,11,neutral
CONV-1614,Forgot password,Verify your email settings.,26 minutes,Account,Resolved after follow-up,15,neutral
CONV-1615,Cannot connect to Wi-Fi,Verify your email settings.,30 minutes,Software,Resolved,5,neutral
CONV-1616,Software installation failure,Verify your email settings.,35 minutes,Network,Escalated,10,negative
CONV-1617,Unable to access email,Verify your email settings.,99 minutes,Performance,Pending,43,neutral
CONV-1618,Unable to access email,Reset your password using the link provided.,74 minutes,Network,Escalated,19,neutral
CONV-1619,Slow system performance,Follow the software installation guide.,51 minutes,Hardware,Escalated,31,neutral
CONV-1620,Unable to access email,Reset your password using the link provided.,86 minutes,Performance,Resolved,30,neutral
CONV-1621,Printer not responding,Reset your password using the link provided.,79 minutes,Account,Pending,9,neutral
CONV-1622,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,83 minutes,Performance,Escalated,11,neutral
CONV-1623,Unable to access email,Restart your router.,95 minutes,Software,Escalated,4,neutral
CONV-1624,Forgot password,Reinstall the printer drivers.,46 minutes,Hardware,Escalated,50,neutral
CONV-1625,Software installation failure,Restart your router.,27 minutes,Performance,Resolved,43,negative
CONV-1626,Printer not responding,Follow the software installation guide.,94 minutes,Software,Resolved after follow-up,3,neutral
CONV-1627,Printer not responding,Clear cache and remove unnecessary programs.,90 minutes,Software,Escalated,2,neutral
CONV-1628,Blue screen error,Run a system diagnostic tool.,120 minutes,Software,Resolved,6,negative
CONV-1629,Blue screen error,Clear cache and remove unnecessary programs.,31 minutes,Network,Pending,12,negative
CONV-1630,Printer not responding,Follow the software installation guide.,43 minutes,Hardware,Escalated,23,neutral
CONV-1631,Printer not responding,Reset your password using the link provided.,91 minutes,Hardware,Resolved,56,neutral
CONV-1632,Printer not responding,Follow the software installation guide.,23 minutes,Network,Pending,29,neutral
CONV-1633,Unable to access email,Clear cache and remove unnecessary programs.,117 minutes,Software,Pending,11,neutral
CONV-1634,Cannot connect to Wi-Fi,Follow the software installation guide.,120 minutes,Account,Pending,19,neutral
CONV-1635,Printer not responding,Clear cache and remove unnecessary programs.,56 minutes,Software,Pending,10,neutral
CONV-1636,Blue screen error,Reset your password using the link provided.,58 minutes,Network,Escalated,28,negative
CONV-1637,Software installation failure,Follow the software installation guide.,78 minutes,Hardware,Pending,25,negative
CONV-1638,Blue screen error,Verify your email settings.,108 minutes,Performance,Pending,29,negative
CONV-1639,Blue screen error,Clear cache and remove unnecessary programs.,113 minutes,Software,Resolved after follow-up,13,negative
CONV-1640,Software installation failure,Clear cache and remove unnecessary programs.,84 minutes,Network,Resolved after follow-up,18,negative
CONV-1641,Printer not responding,Reinstall the printer drivers.,20 minutes,Software,Pending,14,neutral
CONV-1642,Blue screen error,Reinstall the printer drivers.,28 minutes,Network,Escalated,21,negative
CONV-1643,Printer not responding,Follow the software installation guide.,62 minutes,Account,Resolved after follow-up,15,neutral
CONV-1644,Slow system performance,Reinstall the printer drivers.,91 minutes,Account,Resolved after follow-up,9,neutral
CONV-1645,Printer not responding,Follow the software installation guide.,110 minutes,Network,Resolved after follow-up,26,neutral
CONV-1646,Printer not responding,Run a system diagnostic tool.,13 minutes,Account,Resolved after follow-up,17,neutral
CONV-1647,Forgot password,Follow the software installation guide.,117 minutes,Hardware,Escalated,31,neutral
CONV-1648,Software installation failure,Follow the software installation guide.,57 minutes,Network,Resolved,22,negative
CONV-1649,Blue screen error,Reset your password using the link provided.,28 minutes,Hardware,Resolved,12,negative
CONV-1650,Blue screen error,Restart your router.,103 minutes,Hardware,Resolved,45,negative
CONV-1651,Unable to access email,Reset your password using the link provided.,87 minutes,Hardware,Escalated,12,neutral
CONV-1652,Printer not responding,Run a system diagnostic tool.,91 minutes,Performance,Escalated,17,neutral
CONV-1653,Printer not responding,Reinstall the printer drivers.,98 minutes,Network,Resolved after follow-up,12,neutral
CONV-1654,Slow system performance,Reinstall the printer drivers.,13 minutes,Software,Resolved,13,neutral
CONV-1655,Blue screen error,Run a system diagnostic tool.,86 minutes,Hardware,Resolved,55,negative
CONV-1656,Unable to access email,Reinstall the printer drivers.,39 minutes,Software,Resolved,7,neutral
CONV-1657,Slow system performance,Clear cache and remove unnecessary programs.,74 minutes,Software,Resolved after follow-up,9,neutral
CONV-1658,Unable to access email,Reinstall the printer drivers.,10 minutes,Network,Escalated,27,neutral
CONV-1659,Blue screen error,Run a system diagnostic tool.,112 minutes,Performance,Resolved after follow-up,13,negative
CONV-1660,Forgot password,Restart your router.,44 minutes,Hardware,Escalated,37,neutral
CONV-1661,Forgot password,Clear cache and remove unnecessary programs.,52 minutes,Network,Resolved after follow-up,15,neutral
CONV-1662,Blue screen error,Restart your router.,52 minutes,Hardware,Pending,14,negative
CONV-1663,Forgot password,Follow the software installation guide.,96 minutes,Software,Escalated,3,neutral
CONV-1664,Unable to access email,Follow the software installation guide.,65 minutes,Account,Pending,10,neutral
CONV-1665,Blue screen error,Restart your router.,44 minutes,Network,Escalated,17,negative
CONV-1666,Slow system performance,Reset your password using the link provided.,60 minutes,Hardware,Resolved after follow-up,52,neutral
CONV-1667,Forgot password,Follow the software installation guide.,33 minutes,Account,Resolved after follow-up,11,neutral
CONV-1668,Slow system performance,Reinstall the printer drivers.,83 minutes,Performance,Escalated,38,neutral
CONV-1669,Blue screen error,Reinstall the printer drivers.,58 minutes,Account,Pending,15,negative
CONV-1670,Unable to access email,Clear cache and remove unnecessary programs.,43 minutes,Performance,Escalated,17,neutral
CONV-1671,Blue screen error,Restart your router.,81 minutes,Performance,Pending,38,negative
CONV-1672,Cannot connect to Wi-Fi,Reset your password using the link provided.,52 minutes,Software,Escalated,7,neutral
CONV-1673,Software installation failure,Follow the software installation guide.,103 minutes,Hardware,Resolved,37,negative
CONV-1674,Printer not responding,Follow the software installation guide.,113 minutes,Performance,Resolved after follow-up,42,neutral
CONV-1675,Unable to access email,Reinstall the printer drivers.,15 minutes,Performance,Resolved after follow-up,22,neutral
CONV-1676,Cannot connect to Wi-Fi,Verify your email settings.,95 minutes,Account,Resolved,10,neutral
CONV-1677,Software installation failure,Clear cache and remove unnecessary programs.,39 minutes,Hardware,Resolved after follow-up,58,negative
CONV-1678,Slow system performance,Run a system diagnostic tool.,74 minutes,Software,Resolved,11,neutral
CONV-1679,Cannot connect to Wi-Fi,Verify your email settings.,88 minutes,Account,Pending,2,neutral
CONV-1680,Forgot password,Reinstall the printer drivers.,33 minutes,Software,Resolved,8,neutral
CONV-1681,Slow system performance,Clear cache and remove unnecessary programs.,32 minutes,Performance,Resolved after follow-up,19,neutral
CONV-1682,Blue screen error,Clear cache and remove unnecessary programs.,111 minutes,Performance,Resolved,15,negative
CONV-1683,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,36 minutes,Performance,Resolved after follow-up,31,neutral
CONV-1684,Printer not responding,Verify your email settings.,30 minutes,Hardware,Resolved,31,neutral
CONV-1685,Slow system performance,Restart your router.,63 minutes,Hardware,Resolved,43,neutral
CONV-1686,Blue screen error,Verify your email settings.,66 minutes,Software,Resolved after follow-up,13,negative
CONV-1687,Cannot connect to Wi-Fi,Reinstall the printer drivers.,59 minutes,Hardware,Resolved after follow-up,52,neutral
CONV-1688,Printer not responding,Follow the software installation guide.,64 minutes,Network,Escalated,25,neutral
CONV-1689,Forgot password,Clear cache and remove unnecessary programs.,105 minutes,Software,Pending,13,neutral
